ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
5741943,HN549294,08/25/2007 09:22:18 AM,074XX N ROGERS AVE,0560,ASSAULT,SIMPLE,OTHER,FALSE,FALSE,2422,024,49,1,08A,,,2007,08/17/2015 03:03:40 PM,,,
25953,JE240540,05/24/2021 03:06:00 PM,020XX N LARAMIE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,TRUE,FALSE,2515,025,36,19,01A,1141387,1913179,2021,11/18/2023 03:39:49 PM,41.91783806,-87.75596897,"(41.917838056, -87.755968972)"
26038,JE279849,06/26/2021 09:24:00 AM,062XX N MC CORMICK RD,0110,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,TRUE,FALSE,1711,017,50,13,01A,1152781,1941458,2021,11/18/2023 03:39:49 PM,41.99521944,-87.71335491,"(41.995219444, -87.713354912)"
13279676,JG507211,11/09/23 7:30,019XX W BYRON ST,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,FALSE,FALSE,1922,019,47,5,05,1162518,1925906,2023,11/18/2023 03:39:49 PM,41.95234509,-87.67797506,"(41.952345086, -87.677975059)"
13274752,JG501049,11/12/23 7:59,086XX S COTTAGE GROVE AVE,0454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",SMALL RETAIL STORE,TRUE,FALSE,0632,006,6,44,08B,1183071,1847869,2023,12/09/23 15:41,41.73775077,-87.60485591,"(41.737750767, -87.604855911)"
1930689,HH109118,01/05/02 21:24,007XX E 103 ST,0820,THEFT,$500 AND UNDER,GAS STATION,TRUE,FALSE,0512,005,,,06,,,2002,02/04/16 6:33,,,
13203321,JG415333,09/06/23 17:00,002XX N Wells st,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,0122,001,42,32,14,1174694,1901831,2023,11/04/23 15:40,41.88601806,-87.63393788,"(41.886018055, -87.633937881)"
13582916,JH406913,07/01/24 0:00,102XX W ZEMKE RD,1206,DECEPTIVE PRACTICE,"THEFT BY LESSEE, MOTOR VEHICLE",AIRPORT EXTERIOR - NON-SECURE AREA,FALSE,FALSE,1654,016,41,76,11,1106955,1941060,2024,09/03/24 15:41,41.99491395,-87.88193767,"(41.994913946, -87.881937669)"
28339,JH394658,08/25/2024 08:21:00 PM,033XX W OHIO ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1121,011,27,23,01A,1153830,1903796,2024,09/02/24 15:41,41.89185127,-87.7105028,"(41.891851273, -87.710502796)"
13617993,JH453090,04/01/24 0:00,060XX S ALBANY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,0823,008,14,66,08B,1156750,1864458,2024,10/04/24 15:40,41.78384449,-87.70084273,"(41.783844485, -87.700842728)"
12651978,JF185322,03/24/2022 05:07:00 PM,012XX S WABASH AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,GAS STATION,FALSE,FALSE,0131,001,34,33,07,1176963,1894862,2022,09/02/24 15:40,41.86684367,-87.62581667,"(41.866843668, -87.625816668)"
13572877,JH398665,08/23/2024 06:00:00 AM,079XX S MARQUETTE AVE,0498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,TRUE,TRUE,0422,004,7,46,04B,1195557,1852855,2024,09/02/24 15:40,41.75113362,-87.55894689,"(41.75113362, -87.558946894)"
13574250,JH400507,08/24/2024 03:59:00 PM,046XX S DREXEL BLVD,0498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,FALSE,TRUE,0222,002,4,39,04B,1183103,1874341,2024,09/02/24 15:40,41.81039168,-87.60391608,"(41.810391682, -87.60391608)"
13579934,JH406506,08/20/2024 08:00:00 AM,043XX S ALBANY AVE,1120,DECEPTIVE PRACTICE,FORGERY,,FALSE,FALSE,0922,009,12,58,10,1156421,1875687,2024,09/02/24 15:40,41.81466504,-87.70174647,"(41.814665041, -87.701746474)"
13580366,JH408050,08/14/2024 05:00:00 PM,055XX W DIVERSEY AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,FALSE,FALSE,2514,025,31,19,11,1138774,1918063,2024,09/02/24 15:40,41.93128816,-87.76545055,"(41.931288158, -87.765450553)"
13580409,JH406830,08/23/2024 12:00:00 PM,025XX W PETERSON AVE,1120,DECEPTIVE PRACTICE,FORGERY,DAY CARE CENTER,FALSE,FALSE,2011,020,40,2,10,1158337,1939771,2024,09/02/24 15:40,41.99047805,-87.69296356,"(41.990478048, -87.692963561)"
13580752,JH408640,08/09/24 16:00,0000X W VAN BUREN ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,CREDIT UNION,FALSE,FALSE,0113,001,34,32,11,1176054,1898521,2024,09/02/24 15:40,41.8769047,-87.62904347,"(41.8769047, -87.629043466)"
13210088,JG423627,08/31/2023 12:00:00 PM,023XX W JACKSON BLVD,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,STREET,FALSE,FALSE,1225,012,27,28,11,1160870,1898642,2023,09/16/2023 03:41:56 PM,41.87756511,-87.68479102,"(41.877565108, -87.68479102)"
13210004,JG422532,07/24/2023 09:45:00 PM,073XX S JEFFERY BLVD,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,FALSE,FALSE,0333,003,7,43,02,1190812,1856743,2023,09/16/2023 03:41:56 PM,41.7619185,-87.57620925,"(41.7619185, -87.576209245)"
13210062,JG423596,08/27/2023 07:00:00 AM,034XX N LAWNDALE AVE,0820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,1732,017,30,21,06,1151117,1922554,2023,09/16/2023 03:41:56 PM,41.94337853,-87.7199738,"(41.943378528, -87.7199738)"
13210107,JG411849,09/04/23 21:30,053XX S HOMAN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE - GARAGE,FALSE,FALSE,0822,008,14,63,14,1154617,1869046,2023,09/16/2023 03:41:56 PM,41.79647741,-87.70854092,"(41.796477414, -87.708540915)"
13210060,JG423567,08/15/2023 02:20:00 PM,077XX S SPAULDING AVE,0810,THEFT,OVER $500,RESIDENCE - PORCH / HALLWAY,FALSE,FALSE,0835,008,18,70,06,1155724,1853097,2023,09/16/2023 03:41:56 PM,41.7526888,-87.70490879,"(41.752688801, -87.704908791)"
13210120,JG423499,07/24/2023 04:09:00 PM,002XX W 75TH ST,1120,DECEPTIVE PRACTICE,FORGERY,CURRENCY EXCHANGE,FALSE,FALSE,0731,007,6,69,10,1175716,1855233,2023,09/16/2023 03:41:56 PM,41.75812617,-87.63158251,"(41.758126171, -87.631582508)"
13210071,JG421086,09/03/23 10:27,089XX S LOOMIS ST,0890,THEFT,FROM BUILDING,APARTMENT,FALSE,FALSE,2222,022,21,73,06,1168564,1845472,2023,09/16/2023 03:41:56 PM,41.73149773,-87.65807457,"(41.731497731, -87.658074565)"
13210035,JG422370,08/17/2023 07:00:00 AM,019XX W 71ST ST,0820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,0735,007,17,67,06,1164749,1857588,2023,09/16/2023 03:41:56 PM,41.76482708,-87.67170912,"(41.764827083, -87.671709119)"
13210008,JG422517,08/24/2023 02:27:00 PM,031XX S WALLACE ST,1110,DECEPTIVE PRACTICE,BOGUS CHECK,CURRENCY EXCHANGE,FALSE,FALSE,0915,009,11,60,11,1172803,1884190,2023,09/16/2023 03:41:56 PM,41.83765193,-87.64140409,"(41.837651929, -87.641404086)"
13210072,JG422242,08/11/23 11:00,0000X S ALBANY AVE,1790,OFFENSE INVOLVING CHILDREN,CHILD ABDUCTION,RESIDENCE,FALSE,TRUE,1124,011,28,27,26,1155914,1899709,2023,09/16/2023 03:41:56 PM,41.88059439,-87.70295942,"(41.880594385, -87.702959421)"
